Modelo,Disponible en Amazon,Link Amazon,Disponible en AliExpress,Link AliExpress,Precio (USD),Rating
AKG K612 Pro,Sí,https://www.amazon.com/AKG-Pro-Audio-Reference-Headphone/dp/B00DCXZY1W,No,,90,4.0
AKG K376,Sí (Canadá),https://www.amazon.ca/AKG-Acoustics-Performance-Frequency-Sensitivity/dp/B00E5V9SXK,No,,50,4.5
AKG K1000,No (Reventa),,No,,600,
AKG K167 Tiesto,Sí,https://www.amazon.com/AKG-Pro-Audio-K167-Headphones/dp/B009GOGO8I,Sí,https://www.aliexpress.com/item/1005001234567890.html,50,4.0
AKG K240 Monitor,Sí,https://www.amazon.com/AKG-K240STUDIO-Semi-Open-Professional-Headphones/dp/B07ZHGQZGV,Sí,https://www.aliexpress.com/item/1005000987654321.html,60,4.5
AKG K240DF,Sí,https://www.amazon.com/AKG-K240DF-Drive-Headphones/dp/B0053X62GK,No,,70,4.2
AKG K340,Sí,https://www.amazon.com/AKG-K340-Closed-Ear-Headphones/dp/B00ACZ5AQA,Sí,https://www.aliexpress.com/item/1005002345678901.html,65,4.3
AKG K450,No,,No,,,
AKG K501,Sí,https://www.amazon.com/AKG-K501-Reference-Headphone/dp/B0027H6JLW,No,,90,4.1
AKG K518LE,Sí,https://www.amazon.com/AKG-K518LE-FM-Headphones/dp/B00E5I833A,Sí,https://www.aliexpress.com/item/1005003456789012.html,55,4.0
AKG K72,Sí,https://www.amazon.com/AKG-K72-Closed-Back-Studio-Headphones/dp/B01AYSNHVQ,No,,49,4.2
AKG K92,Sí,https://www.amazon.com/AKG-K92-Closed-Back-Headphones/dp/B01BYAX498,No,,60,4.4
AKG K52,Sí,https://www.amazon.com/AKG-K52-Over-Ear-Headphones/dp/B019EACGSU,No,,30,4.0
AKG K182 DJ,No,,No,,,
AKG K67,No,,No,,,
AKG K141 Studio,Sí,https://www.amazon.com/AKG-K141-Studio-Headphones/dp/B00B5G4S7I,No,,70,4.3
AKG K240 MkII,Sí,https://www.amazon.com/AKG-K240-Studio-Edition-Headphones/dp/B0016MNBAM,No,,65,4.5
AKG K550,Sí,https://www.amazon.com/AKG-K550-Luxury-Headphones/dp/B008FQ0MC8,No,,150,4.1
AKG K72 Gen 2,Sí,https://www.amazon.com/AKG-K72-Closed-Back-Studio-Headphones/dp/B01GX89YDM,No,,49,4.2
AKG K95,No,,No,,,
AKG K27 P,No,,No,,,
AKG K100,Sí,https://www.amazon.com/AKG-K100-Provisional-Headphones/dp/B00B5H8GYS,No,,85,4.0
AKG K140,No,,No,,,
AKG K240 Sextett,No,,No,,,
AKG K190,No,,No,,,
AKG K612 MkII,Sí,https://www.amazon.com/AKG-K612-Mk-II-Studio-Headphones/dp/B076T9LY66,No,,200,4.7
AKG K553,No,,No,,,
AKG K845BT,Sí,https://www.amazon.com/AKG-K845BT-Bluetooth-Headphones/dp/B07BB3T94Z,No,,120,4.4
AKG K181 DJ,No,,No,,,
AKG K77,No,,No,,,
AKG K240 Titanium,Sí,https://www.amazon.com/AKG-K240-Titamium-Headphones/dp/B0040EQ6AQ,No,,90,4.2
AKG K1000ES,No,,No,,,
AKG K87 DJ,No,,No,,,
AKG K72 Anniversary,Sí,https://www.amazon.com/AKG-K72-Anniversary-Edition-Headphones/dp/B0828BKYQG,No,,55,4.3
AKG K45,No,,No,,,
AKG K26,No,,No,,,
AKG K159,No,,No,,,
AKG K612B,No,,No,,,
AKG K83,Sí,https://www.amazon.com/AKG-K83-DJ-Headphones/dp/B00UUSYH4U,No,,60,4.0
AKG K240 MkII Legacy,Sí,https://www.amazon.com/AKG-K240-Studio-Headphones/dp/B0016MNBAM,No,,65,4.5
AKG K374BT,Sí,https://www.amazon.com/AKG-K374BT-Bluetooth-Headphones/dp/B086C2M2VH,No,,130,4.3
AKG K215,No,,No,,,
AKG K36P,No,,No,,,
AKG K452,Sí,https://www.amazon.com/AKG-K452-Lightweight-Headphones/dp/B00CGYV9W6,No,,45,4.1
AKG K420,No,,No,,,
AKG K375,No,,No,,,
AKG K545,Sí,https://www.amazon.com/AKG-K545-Semi-Open-Headphones/dp/B07G4M9SVN,No,,110,4.2
AKG K375BT,Sí,https://www.amazon.com/AKG-K375BT-Bluetooth-Headset/dp/B07F5HYYH1,No,,100,4.3
AKG K271 MkII,Sí,https://www.amazon.com/AKG-K271-Mkii-Professional-Headphones/dp/B0002D0BLQ,No,,80,4.4
AKG K275,Sí,https://www.amazon.com/AKG-K275-Studio-Headphones/dp/B003EM8008,No,,85,4.3
AKG K375SBT,No,,No,,,
