Evaluador,TipoAudifono,MarcaReferencia,Marca,Referencia
Auriculares Argentina,over-ear,AKG K612 Pro,AKG,K612 Pro
Innerfidelity,in-ear,AKG K376,AKG,K376
Innerfidelity,over-ear,AKG K1000,AKG,K1000
Innerfidelity,over-ear,AKG K167 Tiesto,AKG,K167 Tiesto
Innerfidelity,over-ear,AKG K240 Monitor,AKG,K240 Monitor
Innerfidelity,over-ear,AKG K240DF,AKG,K240DF
Innerfidelity,over-ear,AKG K340,AKG,K340
Innerfidelity,over-ear,AKG K450,AKG,K450
Innerfidelity,over-ear,AKG K501,AKG,K501
Innerfidelity,over-ear,AKG K518LE,AKG,K518LE
Innerfidelity,over-ear,AKG K619,AKG,K619
Innerfidelity,over-ear,AKG K67 Tiesto,AKG,K67 Tiesto
Innerfidelity,over-ear,"AKG N60 NC (wired, passive)",AKG,N60 NC
Innerfidelity,over-ear,AKG N90Q,AKG,N90Q
oratory1990,in-ear,AKG N20,AKG,N20
oratory1990,in-ear,AKG N400,AKG,N400
oratory1990,over-ear,AKG K240 Studio,AKG,K240 Studio
oratory1990,over-ear,AKG K250,AKG,K250
oratory1990,over-ear,AKG K280 Parabolic,AKG,K280 Parabolic
oratory1990,over-ear,AKG K553,AKG,K553
oratory1990,over-ear,AKG K72,AKG,K72
oratory1990,over-ear,AKG K872,AKG,K872
oratory1990,over-ear,AKG K92,AKG,K92
oratory1990,over-ear,AKG Y50BT,AKG,Y50BT
Rtings,in-ear,AKG N200,AKG,N200
Rtings,over-ear,AKG K44,AKG,K44
Rtings,over-ear,AKG N700NC,AKG,N700NC
DHRME,in-ear,Anker Soundcore Sleep A20,Anker,Soundcore Sleep A20
Regan Cipher,earbud,Anker Soundcore Aerofit Pro,Anker,Soundcore Aerofit Pro
Regan Cipher,in-ear,Anker Life P2i,Anker,Life P2i
Regan Cipher,in-ear,Anker P3i,Anker,P3i
Rtings,in-ear,Anker SoundBuds Curve Upgraded 2019,Anker,SoundBuds Curve Upgraded 2019
Rtings,in-ear,Anker SoundBuds Curve,Anker,SoundBuds Curve
Rtings,in-ear,Anker SoundBuds Life,Anker,SoundBuds Life
Rtings,in-ear,Anker SoundBuds Sport,Anker,SoundBuds Sport
Rtings,in-ear,Anker Soundcore Liberty 4,Anker,Soundcore Liberty 4
Rtings,in-ear,Anker Soundcore Liberty Air 2 Pro,Anker,Soundcore Liberty Air 2 Pro
Rtings,in-ear,Anker Soundcore Liberty Air,Anker,Soundcore Liberty Air
Rtings,in-ear,Anker Soundcore Liberty Lite,Anker,Soundcore Liberty Lite
Rtings,in-ear,Anker Soundcore Life A2 NC,Anker,Soundcore Life A2 NC
Rtings,in-ear,Anker Soundcore Life Dot 2,Anker,Soundcore Life Dot 2
Rtings,in-ear,Anker Soundcore Life P2,Anker,Soundcore Life P2
Rtings,in-ear,Anker Soundcore Life P3,Anker,Soundcore Life P3
Rtings,in-ear,Anker Soundcore P20i (P25i),Anker,Soundcore P20i
Rtings,in-ear,Anker Soundcore Spirit X,Anker,Soundcore Spirit X
Rtings,in-ear,Anker Zolo Liberty+,Anker,Zolo Liberty+
Rtings,over-ear,Anker Soundcore Life 2,Anker,Soundcore Life 2
Rtings,over-ear,Anker Soundcore Life Q20,Anker,Soundcore Life Q20
Rtings,over-ear,Anker Soundcore Space NC,Anker,Soundcore Space NC
HypetheSonics,over-ear,Audeze LCD-GX,Audeze,LCD-GX
Innerfidelity,over-ear,Audeze EL-8 Closed Back,Audeze,EL-8 Closed Back
Innerfidelity,over-ear,Audeze EL-8 Open Back,Audeze,EL-8 Open Back
Innerfidelity,over-ear,Audeze SINE DX,Audeze,SINE DX
oratory1990,in-ear,Audeze Euclid,Audeze,Euclid
oratory1990,over-ear,Audeze CRBN,Audeze,CRBN
oratory1990,over-ear,Audeze LCD-24,Audeze,LCD-24
oratory1990,over-ear,Audeze LCD-5,Audeze,LCD-5
oratory1990,over-ear,Audeze LCD-MX4,Audeze,LCD-MX4
Rtings,over-ear,Audeze Maxwell,Audeze,Maxwell
Rtings,over-ear,Audeze Penrose,Audeze,Penrose
Filk,over-ear,Audio-Technica BPHS1,Audio-Technica,BPHS1
Headphone.com Legacy,over-ear,Audio-Technica ATH-A55,Audio-Technica,ATH-A55
Headphone.com Legacy,over-ear,Audio-Technica ATH-A700,Audio-Technica,ATH-A700
Headphone.com Legacy,over-ear,Audio-Technica ATH-A900,Audio-Technica,ATH-A900
Headphone.com Legacy,over-ear,Audio-Technica ATH-ESW9,Audio-Technica,ATH-ESW9
Headphone.com Legacy,over-ear,Audio-Technica ATH-ESW9A,Audio-Technica,ATH-ESW9A
Headphone.com Legacy,over-ear,Audio-Technica ATH-FC700A,Audio-Technica,ATH-FC700A
Headphone.com Legacy,over-ear,Audio-Technica ATH-M50,Audio-Technica,ATH-M50
Headphone.com Legacy,over-ear,Audio-Technica ATH-PRO700,Audio-Technica,ATH-PRO700
Innerfidelity,in-ear,Audio-Technica ATH-CKM500,Audio-Technica,ATH-CKM500
Innerfidelity,in-ear,Audio-Technica ATH-CKX5iS,Audio-Technica,ATH-CKX5iS
Innerfidelity,in-ear,Audio-Technica ATH-IM02,Audio-Technica,ATH-IM02
Innerfidelity,over-ear,Audio-Technica ATH-A1000X,Audio-Technica,ATH-A1000X
Innerfidelity,over-ear,Audio-Technica ATH-A900X,Audio-Technica,ATH-A900X
Innerfidelity,over-ear,Audio-Technica ATH-AD2000X,Audio-Technica,ATH-AD2000X
Innerfidelity,over-ear,Audio-Technica ATH-ANC50iS (passive),Audio-Technica,ATH-ANC50iS
Innerfidelity,over-ear,Audio-Technica ATH-ES55,Audio-Technica,ATH-ES55
