Evaluador,TipoAudifono,MarcaReferencia,Marca,Referencia,MAE,RMSE,Affinity,Segmento
Auriculares Argentina,over-ear,AKG K612 Pro,AKG,K612 Pro,3.77821582733813,5.18296026632485,48.170397336751506,Buen tono – Musical equilibrado
Innerfidelity,in-ear,AKG K376,AKG,K376,4.679525179856115,5.678819577919442,43.21180422080558,Personalizado – Firma no neutra
Innerfidelity,over-ear,AKG K1000,AKG,K1000,4.83894964028777,8.19447835676978,18.055216432302203,Alternativo
Innerfidelity,over-ear,AKG K167 Tiesto,AKG,K167 Tiesto,3.9918561151079137,4.668756185168247,53.312438148317526,Buen tono – Musical equilibrado
Innerfidelity,over-ear,AKG K240 Monitor,AKG,K240 Monitor,2.868158273381295,4.141180574034727,58.58819425965273,Buen tono – Musical equilibrado
Innerfidelity,over-ear,AKG K240DF,AKG,K240DF,3.6850503597122306,5.768585864637696,42.314141353623036,Personalizado – Firma no neutra
Innerfidelity,over-ear,AKG K340,AKG,K340,4.257597122302158,6.099795621060188,39.00204378939812,Personalizado – Firma no neutra
Innerfidelity,over-ear,AKG K450,AKG,K450,4.200661870503597,5.820526762979546,41.794732370204535,Personalizado – Firma no neutra
Innerfidelity,over-ear,AKG K501,AKG,K501,4.20884892086331,6.288883614943288,37.111163850567124,Personalizado – Firma no neutra
Innerfidelity,over-ear,AKG K518LE,AKG,K518LE,3.2296834532374104,4.346900177261854,56.53099822738146,Buen tono – Musical equilibrado
Innerfidelity,over-ear,AKG K619,AKG,K619,4.006546762589928,5.458559841163999,45.41440158836001,Buen tono – Musical equilibrado
Innerfidelity,over-ear,AKG K67 Tiesto,AKG,K67 Tiesto,3.2075539568345324,4.091558198194012,59.08441801805988,Buen tono – Musical equilibrado
Innerfidelity,over-ear,"AKG N60 NC (wired, passive)",AKG,N60 NC,2.4214964028776977,3.9504863192110133,60.495136807889864,Buen tono – Musical equilibrado
Innerfidelity,over-ear,AKG N90Q,AKG,N90Q,2.0793956834532374,2.9911700749482946,70.08829925051705,Estilo Harman – Usuario general
oratory1990,in-ear,AKG N20,AKG,N20,3.268474820143885,4.253996360596847,57.460036394031526,Buen tono – Musical equilibrado
oratory1990,in-ear,AKG N400,AKG,N400,0.9838129496402878,1.5339786516106155,84.66021348389384,Estilo Harman – Usuario general
oratory1990,over-ear,AKG K240 Studio,AKG,K240 Studio,4.671769784172662,7.018312142085232,29.81687857914767,Personalizado – Firma no neutra
oratory1990,over-ear,AKG K250,AKG,K250,4.14263309352518,6.3034901489217825,36.96509851078218,Personalizado – Firma no neutra
