Frecuencia_Hz,Electrónica_dB,HipHop_dB,Clásica_dB,Gaming_dB,Podcast_dB,Rock_dB,Regueton_dB,Pop_dB,Jazz_dB,Metal_dB,Trap_dB
20.0,5.0,6.0,0.0,4.0,-4.0,-2.0,6.0,3.0,-2.0,-1.0,6.0
20.2,4.995,5.995,0.0,3.995,-3.995,-1.995,5.995,2.995,-1.995,-0.995,5.995
20.4,4.99,5.99,0.0,3.99,-3.99,-1.99,5.99,2.99,-1.99,-0.99,5.99
20.61,4.98475,5.98475,0.0,3.98475,-3.98475,-1.98475,5.98475,2.98475,-1.98475,-0.98475,5.98475
20.81,4.97975,5.97975,0.0,3.97975,-3.97975,-1.9797500000000001,5.97975,2.97975,-1.9797500000000001,-0.97975,5.97975
21.02,4.9745,5.9745,0.0,3.9745,-3.9745,-1.9745,5.9745,2.9745,-1.9745,-0.9745,5.9745
21.23,4.96925,5.96925,0.0,3.96925,-3.96925,-1.96925,5.96925,2.96925,-1.96925,-0.96925,5.96925
21.44,4.964,5.964,0.0,3.964,-3.964,-1.964,5.964,2.964,-1.964,-0.964,5.964
21.66,4.9585,5.9585,0.0,3.9585,-3.9585,-1.9585,5.9585,2.9585,-1.9585,-0.9585,5.9585
21.87,4.95325,5.95325,0.0,3.95325,-3.95325,-1.95325,5.95325,2.95325,-1.95325,-0.9532499999999999,5.95325
22.09,4.94775,5.94775,0.0,3.94775,-3.94775,-1.94775,5.94775,2.94775,-1.94775,-0.94775,5.94775
22.31,4.94225,5.94225,0.0,3.94225,-3.94225,-1.94225,5.94225,2.94225,-1.94225,-0.94225,5.94225
22.54,4.9365,5.9365,0.0,3.9365,-3.9365,-1.9365,5.9365,2.9365,-1.9365,-0.9365,5.9365
22.76,4.931,5.931,0.0,3.931,-3.931,-1.931,5.931,2.931,-1.931,-0.9309999999999999,5.931
22.99,4.92525,5.92525,0.0,3.92525,-3.92525,-1.9252500000000001,5.92525,2.92525,-1.9252500000000001,-0.92525,5.92525
23.22,4.9195,5.9195,0.0,3.9195,-3.9195,-1.9195,5.9195,2.9195,-1.9195,-0.9195,5.9195
23.45,4.91375,5.91375,0.0,3.91375,-3.91375,-1.91375,5.91375,2.91375,-1.91375,-0.9137500000000001,5.91375
23.69,4.90775,5.90775,0.0,3.90775,-3.90775,-1.90775,5.90775,2.90775,-1.90775,-0.90775,5.90775
23.92,4.902,5.902,0.0,3.902,-3.902,-1.902,5.902,2.902,-1.902,-0.9019999999999999,5.902
24.16,4.896,5.896,0.0,3.896,-3.896,-1.896,5.896,2.896,-1.896,-0.896,5.896
24.4,4.89,5.89,0.0,3.89,-3.89,-1.8900000000000001,5.89,2.89,-1.8900000000000001,-0.89,5.89
24.65,4.88375,5.88375,0.0,3.88375,-3.88375,-1.88375,5.88375,2.88375,-1.88375,-0.88375,5.88375
24.89,4.87775,5.87775,0.0,3.87775,-3.87775,-1.87775,5.87775,2.87775,-1.87775,-0.87775,5.87775
25.14,4.8715,5.8715,0.0,3.8715,-3.8715,-1.8715,5.8715,2.8715,-1.8715,-0.8714999999999999,5.8715
25.39,4.86525,5.86525,0.0,3.86525,-3.86525,-1.86525,5.86525,2.86525,-1.86525,-0.86525,5.86525
25.65,4.85875,5.85875,0.0,3.85875,-3.85875,-1.8587500000000001,5.85875,2.85875,-1.8587500000000001,-0.85875,5.85875
25.91,4.85225,5.85225,0.0,3.85225,-3.85225,-1.85225,5.85225,2.85225,-1.85225,-0.85225,5.85225
26.16,4.846,5.846,0.0,3.846,-3.846,-1.846,5.846,2.846,-1.846,-0.846,5.846
26.43,4.83925,5.83925,0.0,3.83925,-3.83925,-1.83925,5.83925,2.83925,-1.83925,-0.83925,5.83925
26.69,4.83275,5.83275,0.0,3.83275,-3.83275,-1.8327499999999999,5.83275,2.83275,-1.8327499999999999,-0.83275,5.83275
26.96,4.826,5.826,0.0,3.826,-3.826,-1.826,5.826,2.826,-1.826,-0.826,5.826
27.23,4.81925,5.81925,0.0,3.81925,-3.81925,-1.81925,5.81925,2.81925,-1.81925,-0.81925,5.81925
27.5,4.8125,5.8125,0.0,3.8125,-3.8125,-1.8125,5.8125,2.8125,-1.8125,-0.8125,5.8125
27.77,4.80575,5.80575,0.0,3.80575,-3.80575,-1.80575,5.80575,2.80575,-1.80575,-0.80575,5.80575
28.05,4.79875,5.79875,0.0,3.79875,-3.79875,-1.79875,5.79875,2.79875,-1.79875,-0.79875,5.79875
28.33,4.79175,5.79175,0.0,3.79175,-3.79175,-1.79175,5.79175,2.79175,-1.79175,-0.7917500000000001,5.79175
28.62,4.7844999999999995,5.7844999999999995,0.0,3.7845,-3.7845,-1.7845,5.7844999999999995,2.7845,-1.7845,-0.7845,5.7844999999999995
28.9,4.7775,5.7775,0.0,3.7775,-3.7775,-1.7775,5.7775,2.7775,-1.7775,-0.7775000000000001,5.7775
29.19,4.77025,5.77025,0.0,3.77025,-3.77025,-1.7702499999999999,5.77025,2.77025,-1.7702499999999999,-0.77025,5.77025
29.48,4.763,5.763,0.0,3.763,-3.763,-1.763,5.763,2.763,-1.763,-0.763,5.763
29.78,4.7555,5.7555,0.0,3.7555,-3.7555,-1.7555,5.7555,2.7555,-1.7555,-0.7555,5.7555
